,type,exact,f1,count
0,where,84.375,86.34982638888889,64
1,when,80.33707865168539,81.96773264188994,178
2,what,82.29665071770334,84.85382853003598,1045
3,which,80.32786885245902,82.72313296903461,122
4,who,79.25925925925925,80.66926575698506,135
5,why,88.88888888888889,88.88888888888889,9
6,how,76.04166666666667,78.35069444444444,96
7,do,81.26925446703635,84.13421390572626,1623
8,be,80.15127803860199,83.17296562677178,3834
