,type,exact,f1,count
0,where,51.351351351351354,55.23666523666523,111
1,when,50.18050541516246,54.43455496863864,277
2,what,53.50492880613363,57.14868158899915,1826
3,which,58.19672131147541,62.86504782406423,244
4,who,47.31182795698925,50.27430823446003,186
5,why,60.0,67.38095238095238,15
6,how,45.493562231759654,49.47169425710199,233
7,do,54.989816700611,58.35385703632813,2946
8,be,53.26116373477672,57.36615035458158,7390
